pool_id,count_of_rides,time_taken,dist_saved,rideLabel,pool_window,record_entry,trips_saved,final_trips,unshared_trips,initial_trips_distance,initial_trips,DateRunFor
4930,9,12.921,55.3729,To LaGuardia,5,20-04-2020 14:36,9,9,0,172,18,17-05-2016
4931,0,0.000546,0,From LaGuardia,5,20-04-2020 14:35,0,1,1,1,1,17-05-2016
4932,7,7.74715,35.0839,To LaGuardia,5,20-04-2020 14:35,7,7,0,132,14,17-05-2016
4933,0,0.000565,0,From LaGuardia,5,20-04-2020 14:35,0,1,1,12,1,17-05-2016
4934,6,5.60294,31.8464,To LaGuardia,5,20-04-2020 14:35,6,6,0,109,12,17-05-2016
4935,4,3.02405,20.0537,To LaGuardia,5,20-04-2020 14:35,4,5,1,81,9,17-05-2016
4936,7,10.266,43.8796,To LaGuardia,5,20-04-2020 14:35,7,9,2,144,16,17-05-2016
4937,10,17.9587,53.0451,To LaGuardia,5,20-04-2020 14:35,10,11,1,187,21,17-05-2016
4938,6,6.66963,30.0449,To LaGuardia,5,20-04-2020 14:35,6,7,1,110,13,17-05-2016
4939,9,14.5771,55.3971,To LaGuardia,5,20-04-2020 14:35,9,10,1,175,19,17-05-2016
4940,7,7.75222,38.4585,To LaGuardia,5,20-04-2020 14:34,7,7,0,137,14,17-05-2016
4941,0,0.000546,0,From LaGuardia,5,20-04-2020 14:34,0,1,1,13,1,17-05-2016
4942,8,10.2342,39.1134,To LaGuardia,5,20-04-2020 14:34,8,8,0,138,16,17-05-2016
4943,7,8.98424,43.8647,To LaGuardia,5,20-04-2020 14:34,7,8,1,139,15,17-05-2016
4944,9,13.1481,56.6017,To LaGuardia,5,20-04-2020 14:34,9,9,0,166,18,17-05-2016
4945,4,2.44318,22.1473,To LaGuardia,5,20-04-2020 14:34,4,4,0,79,8,17-05-2016
4946,5,4.81461,26.0707,To LaGuardia,5,20-04-2020 14:34,5,6,1,98,11,17-05-2016
4947,0,0.00079,0,From LaGuardia,5,20-04-2020 14:34,0,1,1,1,1,17-05-2016
4948,10,17.8212,65.4577,To LaGuardia,5,20-04-2020 14:34,10,11,1,204,21,17-05-2016
4949,6,5.56041,28.0265,To LaGuardia,5,20-04-2020 14:33,6,6,0,104,12,17-05-2016
4950,8,11.5607,51.9821,To LaGuardia,5,20-04-2020 14:33,8,9,1,172,17,17-05-2016
4951,8,11.5662,49.9006,To LaGuardia,5,20-04-2020 14:33,8,9,1,172,17,17-05-2016
4952,0,0.000543,0,From LaGuardia,5,20-04-2020 14:33,0,1,1,3,1,17-05-2016
4953,7,8.82025,46.7351,To LaGuardia,5,20-04-2020 14:33,7,8,1,144,15,17-05-2016
4954,0,0.000557,0,From LaGuardia,5,20-04-2020 14:33,0,1,1,3,1,17-05-2016
4955,3,1.29181,16.8088,To LaGuardia,5,20-04-2020 14:33,3,3,0,53,6,17-05-2016
4956,3,1.79744,13.8925,To LaGuardia,5,20-04-2020 14:33,3,4,1,59,7,17-05-2016
4957,1,0.505633,7.76586,To LaGuardia,5,20-04-2020 14:33,1,3,2,38,4,17-05-2016
4958,6,6.70135,32.4073,To LaGuardia,5,20-04-2020 14:33,6,7,1,127,13,17-05-2016
4959,0,0.00054,0,From LaGuardia,5,20-04-2020 14:32,0,1,1,10,1,17-05-2016
4960,1,0.086484,1.47774,To LaGuardia,5,20-04-2020 14:32,1,1,0,19,2,17-05-2016
4961,5,4.70245,32.6406,To LaGuardia,5,20-04-2020 14:32,5,6,1,107,11,17-05-2016
4962,1,0.255789,7.67082,To LaGuardia,5,20-04-2020 14:32,1,2,1,32,3,17-05-2016
4963,1,0.257746,7.48206,To LaGuardia,5,20-04-2020 14:32,1,2,1,29,3,17-05-2016
4964,0,0.000552,0,From LaGuardia,5,20-04-2020 14:32,0,1,1,2,1,17-05-2016
4965,1,0.261409,3.79428,To LaGuardia,5,20-04-2020 14:32,1,2,1,33,3,17-05-2016
4966,1,0.08555,0.8289,To LaGuardia,5,20-04-2020 14:32,1,1,0,19,2,17-05-2016
4967,1,0.084442,4.28802,To LaGuardia,5,20-04-2020 14:32,1,1,0,19,2,17-05-2016
4968,1,0.083777,6.04044,To LaGuardia,5,20-04-2020 14:32,1,1,0,19,2,17-05-2016
4969,0,0.000547,0,To LaGuardia,5,20-04-2020 14:32,0,1,1,8,1,17-05-2016
4970,1,0.250676,8.2119,To LaGuardia,5,20-04-2020 14:32,1,2,1,25,3,17-05-2016
4971,0,0.000547,0,To LaGuardia,5,20-04-2020 14:32,0,1,1,8,1,17-05-2016
4972,0,0.000552,0,To LaGuardia,5,20-04-2020 14:32,0,1,1,9,1,17-05-2016
4973,1,0.086598,3.38976,From LaGuardia,5,20-04-2020 14:32,1,1,0,15,2,17-05-2016
4974,0,0.000544,0,To LaGuardia,5,20-04-2020 14:32,0,1,1,9,1,17-05-2016
4975,0,0.000631,0,To LaGuardia,5,20-04-2020 14:32,0,1,1,8,1,17-05-2016
4976,0,0.000575,0,To LaGuardia,5,20-04-2020 14:32,0,1,1,9,1,17-05-2016
4977,0,0.00057,0,To LaGuardia,5,20-04-2020 14:32,0,1,1,9,1,17-05-2016
4978,0,0.000616,0,From LaGuardia,5,20-04-2020 14:32,0,1,1,12,1,17-05-2016
4979,0,0.000543,0,From LaGuardia,5,20-04-2020 14:32,0,1,1,12,1,17-05-2016
4980,1,0.086528,5.50788,From LaGuardia,5,20-04-2020 14:32,1,1,0,20,2,17-05-2016
4981,0,0.000549,0,From LaGuardia,5,20-04-2020 14:32,0,1,1,8,1,17-05-2016
4982,0,0.084363,0,From LaGuardia,5,20-04-2020 14:32,0,2,2,17,2,17-05-2016
4983,6,6.62633,33.3497,From LaGuardia,5,20-04-2020 14:32,6,7,1,103,13,17-05-2016
4984,19,63.3236,119.755,From LaGuardia,5,20-04-2020 14:32,19,20,1,357,39,17-05-2016
4985,23,92.5066,141.453,From LaGuardia,5,20-04-2020 14:31,23,24,1,424,47,17-05-2016
4986,20,67.2403,139.824,From LaGuardia,5,20-04-2020 14:30,20,20,0,399,40,17-05-2016
4987,15,42.6232,115.999,From LaGuardia,5,20-04-2020 14:29,15,17,2,334,32,17-05-2016
4988,16,48.927,109.119,From LaGuardia,5,20-04-2020 14:28,16,18,2,318,34,17-05-2016
4989,9,13.3891,61.2353,From LaGuardia,5,20-04-2020 14:27,9,9,0,170,18,17-05-2016
4990,17,49.0001,88.1063,From LaGuardia,5,20-04-2020 14:27,17,17,0,296,34,17-05-2016
4991,6,5.78809,36.1148,From LaGuardia,5,20-04-2020 14:26,6,6,0,109,12,17-05-2016
4992,13,30.6844,79.6889,From LaGuardia,5,20-04-2020 14:26,13,14,1,239,27,17-05-2016
4993,0,0.000654,0,To LaGuardia,5,20-04-2020 14:25,0,1,1,1,1,17-05-2016
4994,12,28.701,73.5691,From LaGuardia,5,20-04-2020 14:25,12,13,1,223,25,17-05-2016
4995,10,19.9819,63.7837,From LaGuardia,5,20-04-2020 14:25,10,12,2,198,22,17-05-2016
4996,21,84.3401,147.495,From LaGuardia,5,20-04-2020 14:25,21,23,2,426,44,17-05-2016
4997,19,65.633,129.64,From LaGuardia,5,20-04-2020 14:23,19,20,1,369,39,17-05-2016
4998,1,0.089497,8.94794,To LaGuardia,5,20-04-2020 14:22,1,1,0,25,2,17-05-2016
4999,14,35.7039,87.377,From LaGuardia,5,20-04-2020 14:22,14,15,1,259,29,17-05-2016
9858,7,11.533,48.5751,To LaGuardia,5,20-04-2020 16:31,7,9,2,149,16,17-05-2016
9859,10,21.5593,62.2782,From LaGuardia,5,20-04-2020 16:31,10,11,1,192,21,17-05-2016
9860,10,19.4993,73.1618,To LaGuardia,5,20-04-2020 16:30,10,11,1,215,21,17-05-2016
9861,15,45.1269,104.535,From LaGuardia,5,20-04-2020 16:30,15,16,1,326,31,17-05-2016
9862,7,9.71601,37.6447,To LaGuardia,5,20-04-2020 16:29,7,8,1,149,15,17-05-2016
9863,14,41.4374,105.66,From LaGuardia,5,20-04-2020 16:29,14,16,2,307,30,17-05-2016
9864,13,34.3718,88.1346,To LaGuardia,5,20-04-2020 16:28,13,14,1,268,27,17-05-2016
9865,17,61.0907,115.857,From LaGuardia,5,20-04-2020 16:28,17,19,2,331,36,17-05-2016
9866,9,18.4702,56.05,To LaGuardia,5,20-04-2020 16:27,9,11,2,200,20,17-05-2016
9867,18,71.847,112.934,From LaGuardia,5,20-04-2020 16:27,18,19,1,342,37,17-05-2016
9868,5,4.45297,29.4013,To LaGuardia,5,20-04-2020 16:25,5,5,0,92,10,17-05-2016
9869,15,48.6375,107.06,From LaGuardia,5,20-04-2020 16:25,15,17,2,330,32,17-05-2016
9870,7,11.3789,45.6421,To LaGuardia,5,20-04-2020 16:25,7,8,1,145,15,17-05-2016
9871,10,22.6636,61.7513,From LaGuardia,5,20-04-2020 16:24,10,11,1,197,21,17-05-2016
9872,8,10.9969,55.4644,To LaGuardia,5,20-04-2020 16:24,8,8,0,165,16,17-05-2016
9873,16,57.6803,113.539,From LaGuardia,5,20-04-2020 16:24,16,18,2,354,34,17-05-2016
9874,7,9.97389,43.8756,To LaGuardia,5,20-04-2020 16:23,7,8,1,145,15,17-05-2016
9875,22,100.453,157.291,From LaGuardia,5,20-04-2020 16:23,22,23,1,450,45,17-05-2016
9876,6,7.15878,43.6811,To LaGuardia,5,20-04-2020 16:21,6,7,1,144,13,17-05-2016
9877,21,83.0769,148.287,From LaGuardia,5,20-04-2020 16:21,21,22,1,436,43,17-05-2016
9878,9,15.6227,61.0499,To LaGuardia,5,20-04-2020 16:19,9,10,1,199,19,17-05-2016
9879,19,62.2195,141.341,From LaGuardia,5,20-04-2020 16:19,19,19,0,383,38,17-05-2016
9880,9,15.92,68.5735,To LaGuardia,5,20-04-2020 16:18,9,10,1,196,19,17-05-2016
9881,19,64.3671,122.353,From LaGuardia,5,20-04-2020 16:18,19,19,0,388,38,17-05-2016
9882,8,12.005,54.6976,To LaGuardia,5,20-04-2020 16:17,8,9,1,172,17,17-05-2016
9883,26,122.542,184.179,From LaGuardia,5,20-04-2020 16:17,26,27,1,508,53,17-05-2016
9884,8,12.9642,57.3665,To LaGuardia,5,20-04-2020 16:15,8,9,1,179,17,17-05-2016
9885,24,103.523,175.669,From LaGuardia,5,20-04-2020 16:14,24,24,0,475,48,17-05-2016
9886,7,10.7743,47.882,To LaGuardia,5,20-04-2020 16:13,7,9,2,168,16,17-05-2016
9887,23,92.2175,162.879,From LaGuardia,5,20-04-2020 16:12,23,23,0,453,46,17-05-2016
9888,9,13.1903,48.1946,To LaGuardia,5,20-04-2020 16:11,9,9,0,174,18,17-05-2016
9889,18,59.6568,128.578,From LaGuardia,5,20-04-2020 16:11,18,19,1,400,37,17-05-2016
