ID,Lat,Lon,distance
0,40.798645,-73.9614743,8.89866
1,40.8016441,-73.9685711,13.96524
2,40.7826383,-73.9750067,14.67474
3,40.783828,-73.9778254,14.83776
4,40.7845691,-73.9795827,14.4096
5,40.7850311,-73.9806779,14.47296
6,40.7855935,-73.9820114,14.26164
7,40.8593027,-73.9313326,10.37172
8,40.7839863,-73.9703136,8.916
9,40.7851818,-73.9731496,14.86872
10,40.7863627,-73.9759753,9.24396
11,40.7870877,-73.9776927,14.60292
12,40.7875673,-73.9788289,14.54022
13,40.7885135,-73.9810702,14.46768
14,40.8126165,-73.9568104,7.08942
15,40.8138385,-73.9598159,12.13548
16,40.7328593,-73.9959038,10.37232
17,40.7341463,-73.9991816,10.56654
18,40.726263,-73.994403,9.76812
19,40.704221,-74.0087998,14.70342
20,40.7033242,-74.0077787,14.62632
21,40.7041084,-74.0089696,14.69196
22,40.7032082,-74.0079771,14.61366
23,40.7692723,-73.9810245,10.55226
24,40.7697921,-73.9822548,10.49664
25,40.7704805,-73.9838467,15.93528
26,40.7716682,-73.9866896,15.3384
27,40.7728658,-73.9895487,15.50352
28,40.7872303,-73.9679486,8.66868
29,40.7884319,-73.9707848,9.15888
30,40.7896131,-73.9736025,8.99616
31,40.7902552,-73.9751319,13.89348
32,40.7908141,-73.976449,14.85072
33,40.7917606,-73.9786893,13.95504
34,40.7110102,-74.0143968,14.4204
35,40.7091439,-74.010521,11.44866
36,40.8016938,-73.9334616,5.70018
37,40.759667,-73.9582334,8.99814
38,40.8442431,-73.9337066,9.00642
39,40.8033714,-73.9329248,5.73042
40,40.71325,-73.977586,9.40794
41,40.724504,-74.007029,11.99586
42,40.7596362,-73.9639971,9.32826
43,40.7620792,-73.9619892,9.33438
44,40.758838,-73.9989476,24.04272
45,40.7577413,-73.9968472,24.17202
46,40.7606238,-73.964345,9.32718
47,40.7696458,-73.9483958,8.1432
48,40.7794868,-73.9735933,14.88084
49,40.817189,-73.934463,6.79578
50,40.7219848,-74.0082309,11.77764
51,40.7730374,-73.9782943,10.45584
52,40.7206456,-74.008466,11.86782
53,40.7244054,-74.0070994,12.00336
54,40.7593082,-73.9592519,9.01092
55,40.8197265,-73.9601312,11.964
56,40.8069238,-73.9355687,6.08178
57,40.7573468,-73.9950445,9.95688
58,40.7576654,-73.9948115,9.48036
59,40.784623,-73.9698495,8.86746
60,40.7244132,-74.0059302,11.70054
61,40.8176537,-73.9610075,11.77716
62,40.791722,-73.952984,8.06628
63,40.7923746,-73.9641691,8.38404
64,40.8156499,-73.9344467,6.69162
65,40.7941945,-73.9628627,8.52222
66,40.8034745,-73.9312442,5.91078
67,40.8668641,-73.9309781,11.96802
68,40.7239092,-74.0075216,11.72664
69,40.8039448,-73.9323547,5.97504
70,40.7024415,-74.0128371,14.05236
71,40.7472719,-73.9758369,8.23536
72,40.7369806,-73.9748941,10.8912
73,40.8179052,-73.9342568,6.84618
74,40.7896936,-73.9373914,6.86082
75,40.8363811,-73.9445746,8.60196
76,40.8370771,-73.9442977,10.25058
77,40.8377866,-73.9440172,8.70798
78,40.8384634,-73.9437512,10.1541
79,40.839174,-73.943465,8.78652
80,40.84281,-73.942013,10.21614
81,40.843443,-73.9416398,10.26264
82,40.844049,-73.941142,10.31022
83,40.844686,-73.940795,9.4818
84,40.845369,-73.940518,9.48054
85,40.846048,-73.940241,9.40578
86,40.846519,-73.940061,9.40038
87,40.84721,-73.939779,9.3231
88,40.847838,-73.939524,10.59924
89,40.8499781,-73.9386594,9.33954
90,40.852128,-73.937819,9.48918
91,40.85338,-73.937435,9.57498
92,40.855125,-73.9369033,9.6945
93,40.857109,-73.935602,9.843
94,40.7054111,-74.0044746,10.27476
95,40.7136499,-74.0036256,11.03526
96,40.7142983,-74.0026161,11.38578
97,40.7151767,-74.0021357,11.32224
98,40.7157471,-74.0016907,11.27802
99,40.71693,-74.000818,11.18754
100,40.7186723,-73.9994292,9.64548
101,40.718913,-73.999234,9.62664
102,40.720836,-73.997655,9.4755
103,40.7152132,-73.9842544,9.04602
104,40.7206493,-73.9813183,12.29532
105,40.739673,-73.990945,9.48354
106,40.7410305,-73.9941671,9.49242
107,40.742228,-73.997007,9.65676
108,40.7434266,-73.9998517,9.82134
109,40.7446399,-74.0027323,10.16604
110,40.745816,-74.005535,10.15002
111,40.7435682,-73.9923179,9.29904
112,40.744765,-73.9951595,9.46344
113,40.7459612,-73.998,9.62778
114,40.7471747,-74.0008813,9.80406
115,40.748355,-74.003684,9.96618
116,40.8722414,-73.9126036,11.74332
117,40.7142522,-73.9808919,9.22782
118,40.76366,-73.973464,9.98508
119,40.856182,-73.928716,9.64218
120,40.857841,-73.932043,10.4757
121,40.745301,-73.986846,8.97036
122,40.746659,-73.990067,9.06342
123,40.7478553,-73.9929106,9.32244
124,40.7490521,-73.9957492,9.39216
125,40.7502567,-73.998626,9.88302
126,40.8134264,-73.9371368,7.0536
127,40.8622107,-73.9296676,10.27554
128,40.8626215,-73.9286059,10.21506
129,40.862926,-73.927766,10.16502
130,40.863238,-73.926923,10.40352
131,40.7617963,-73.9574532,9.01176
132,40.7624221,-73.9569952,9.05952
133,40.7630478,-73.9565374,9.10728
134,40.7636674,-73.956084,9.1545
135,40.7642963,-73.9556238,9.2025
136,40.7649208,-73.9551668,9.60822
137,40.765554,-73.9547034,9.2985
138,40.7668593,-73.9537482,9.69642
139,40.7675414,-73.953249,8.49732
140,40.7681847,-73.9527843,8.18904
141,40.7688236,-73.9523229,8.14044
142,40.7694526,-73.9518686,8.09262
143,40.7700762,-73.9514149,8.21574
144,40.7707103,-73.9509381,7.99644
145,40.7720657,-73.9499424,7.89288
146,40.7726941,-73.9494862,8.10294
147,40.773343,-73.9490092,7.7955
148,40.7739762,-73.9485506,7.74732
149,40.7746141,-73.9480817,7.971
150,40.7752458,-73.9476241,7.9086
151,40.775929,-73.947122,7.59828
152,40.7766012,-73.9466301,7.54704
153,40.7772273,-73.9461727,7.49928
154,40.7778572,-73.9457131,7.45122
155,40.7784828,-73.9452574,7.40352
156,40.779146,-73.9447758,7.35306
157,40.7797706,-73.9443355,7.30578
158,40.7812798,-73.9759984,14.76252
159,40.7824641,-73.9788209,14.50914
160,40.7832069,-73.9805809,14.43126
161,40.7836714,-73.9816869,14.49516
162,40.784357,-73.9833075,14.44122
163,40.8474237,-73.9313827,8.90364
164,40.848626,-73.934239,9.06864
165,40.849541,-73.936397,9.19356
166,40.8513418,-73.9402247,10.05684
167,40.7413644,-73.9891371,9.13776
168,40.7422189,-73.9891005,9.31518
169,40.751444,-73.9876732,8.77446
170,40.7521844,-73.9875229,8.82444
171,40.7558122,-73.9864171,9.12474
172,40.7671415,-73.981762,10.3578
173,40.7058713,-74.0132769,13.93482
174,40.7074505,-74.0119439,14.05998
175,40.7082967,-74.0112329,14.12694
176,40.709798,-74.0099714,11.4006
177,40.7103215,-74.0095316,11.442
178,40.7104064,-74.0094602,11.29812
179,40.7108847,-74.0090583,11.32518
180,40.7113899,-74.0086338,11.11218
181,40.7146812,-74.0058865,11.58576
182,40.715236,-74.00542,11.21136
183,40.71576,-74.004976,11.50272
184,40.7162869,-74.0045303,11.2575
185,40.7166598,-74.0042041,11.27946
186,40.717449,-74.003533,11.34996
187,40.7180338,-74.003043,11.5296
188,40.719153,-74.002091,11.30766
189,40.719938,-74.001425,11.3985
190,40.723021,-73.998812,9.57906
191,40.724235,-73.997785,9.6753
192,40.727211,-73.99527,9.84546
193,40.7278266,-73.9947496,9.89424
194,40.728412,-73.994252,9.94074
195,40.729008,-73.993747,9.98796
196,40.72958,-73.993262,10.03338
197,40.730079,-73.992841,10.07286
198,40.7306011,-73.9923997,10.09782
199,40.731166,-73.991921,10.14264
200,40.7317445,-73.9914619,10.18242
201,40.732449,-73.991289,10.2303
202,40.733214,-73.991114,10.28214
203,40.733978,-73.990945,10.3338
204,40.7347805,-73.9907168,10.38912
205,40.7689456,-73.9822067,10.44012
206,40.7714459,-73.9822732,10.60704
207,40.7747353,-73.9823166,15.27336
208,40.7755452,-73.9822846,15.32742
209,40.7763504,-73.9822527,15.38118
210,40.7771406,-73.9822215,15.43398
211,40.7795997,-73.9818489,14.85606
212,40.7803332,-73.9816348,14.92536
213,40.7810582,-73.9814257,14.58816
214,40.7818019,-73.9811764,14.53038
215,40.7825164,-73.9809212,14.46564
216,40.7852008,-73.9791229,14.45778
217,40.7858192,-73.9786487,14.50542
218,40.7864652,-73.9781723,14.55486
219,40.7876892,-73.9771797,14.65068
220,40.788995,-73.9760614,14.7546
221,40.7896182,-73.9755987,14.8023
222,40.7908742,-73.9746797,9.03654
223,40.7915093,-73.974213,13.79922
224,40.7921407,-73.9737576,13.84728
225,40.792771,-73.9732956,13.89534
226,40.7933947,-73.9728492,13.67706
227,40.7953835,-73.9714047,13.60506
228,40.7959957,-73.9709211,13.76802
229,40.7966222,-73.9704634,13.70046
230,40.7972533,-73.9700079,13.7484
231,40.7978881,-73.9695604,13.79646
232,40.7985082,-73.9691157,13.8435
233,40.7991422,-73.9686501,13.89198
234,40.7998293,-73.9683196,13.94076
235,40.8005442,-73.9680997,13.98978
236,40.8022513,-73.9679079,14.02842
237,40.8036112,-73.9672429,8.15388
238,40.8048633,-73.9663136,13.24596
239,40.8054904,-73.9658601,8.05206
240,40.8061176,-73.9654027,13.16682
241,40.8067507,-73.9649437,12.672
242,40.8073825,-73.9644822,12.72018
243,40.8112589,-73.9616861,12.8688
244,40.8151825,-73.9588379,12.03396
245,40.8163677,-73.9579743,11.89344
246,40.8169955,-73.9575149,11.89254
247,40.817612,-73.9570651,11.82282
248,40.8182375,-73.9566189,11.77632
249,40.8188666,-73.9561585,11.72838
250,40.8214465,-73.9542759,11.92506
251,40.8220806,-73.9538135,11.97342
252,40.822698,-73.9533594,12.00708
253,40.823318,-73.9529044,12.05442
254,40.8239402,-73.9524477,12.10188
255,40.8245785,-73.9519855,7.89978
256,40.8251983,-73.9515358,7.947
257,40.8258119,-73.9510825,7.98612
258,40.8271631,-73.9500994,7.98444
259,40.8277858,-73.9496453,8.03196
260,40.8284141,-73.949184,8.65698
261,40.8290241,-73.9487404,8.91984
262,40.8296535,-73.9482817,8.56254
263,40.8302751,-73.9478285,8.847
264,40.8309006,-73.9473687,8.46738
265,40.8315246,-73.9469124,8.79276
266,40.8328285,-73.9459609,8.32062
267,40.8334857,-73.945481,8.37072
268,40.8359959,-73.9436514,8.54868
269,40.8366143,-73.9431927,8.60928
270,40.8372479,-73.9427349,8.63394
271,40.8378398,-73.9422972,8.67924
272,40.8384885,-73.9418259,8.72862
273,40.8399295,-73.9407749,10.19628
274,40.8416657,-73.9392736,9.45714
275,40.842436,-73.939255,9.48084
276,40.843223,-73.939177,9.42816
277,40.843942,-73.939025,9.37956
278,40.8446886,-73.9388653,9.3669
279,40.8454318,-73.9386774,9.31644
280,40.846193,-73.938451,9.29334
281,40.846934,-73.938227,9.27192
282,40.847558,-73.938036,9.22914
283,40.847711,-73.937975,9.21852
284,40.850774,-73.935426,9.369
285,40.851434,-73.935083,9.41634
286,40.852058,-73.934776,9.38838
287,40.852729,-73.93443,9.5088
288,40.8532,-73.934193,9.54246
289,40.8541572,-73.9337034,9.61092
290,40.855335,-73.933312,10.65486
291,40.856503,-73.932761,10.57206
292,40.858271,-73.931818,10.44486
293,40.860641,-73.930771,10.4655
294,40.8634187,-73.9300194,10.31244
295,40.8646634,-73.9289023,10.31532
296,40.8650857,-73.9281099,10.26642
297,40.866025,-73.925872,10.48446
298,40.868482,-73.918561,10.73418
299,40.868885,-73.917594,10.82808
300,40.8693238,-73.9167458,10.77624
301,40.8704145,-73.9151316,11.8032
302,40.871714,-73.9132764,11.6751
303,40.875638,-73.9082537,11.30976
304,40.735313,-73.994118,10.0113
305,40.736668,-73.997341,9.82488
306,40.7378614,-74.0001742,10.82178
307,40.7387436,-74.0024001,10.17516
308,40.7390953,-74.0030301,10.15158
309,40.7414704,-74.00874,15.89268
310,40.8429382,-73.9346816,9.1065
311,40.844137,-73.937518,9.27186
312,40.810856,-73.939018,6.50514
313,40.8121691,-73.9421726,7.45674
314,40.8134246,-73.9451819,7.63032
315,40.81458,-73.947947,7.78986
316,40.803228,-73.944597,6.41466
317,40.714383,-74.010128,14.30016
318,40.714904,-74.0113427,14.22948
319,40.7142842,-73.9939481,11.17362
320,40.715355,-73.9934,9.38658
321,40.717668,-73.9922172,9.22098
322,40.7195624,-73.9912489,9.61362
323,40.7385065,-73.9917962,9.8577
324,40.73986,-73.995018,9.58164
325,40.741056,-73.997862,9.7461
326,40.7422581,-74.0006951,9.91026
327,40.7434761,-74.0035806,10.0773
328,40.771147,-73.967994,10.06746
329,40.7704757,-73.9663887,9.97548
330,40.769761,-73.9646697,9.87636
331,40.7691229,-73.9631538,9.7887
332,40.7684519,-73.9615495,9.69738
333,40.7675129,-73.9593042,9.56772
334,40.766522,-73.9569348,9.42846
335,40.8113269,-73.9640143,12.71238
336,40.8045555,-73.947737,6.59772
337,40.806709,-73.952857,6.8922
338,40.806981,-73.9535,6.9294
339,40.7198216,-73.9921032,9.23304
340,40.7191021,-73.989732,9.3612
341,40.718874,-73.9889804,8.98206
342,40.7186264,-73.9881645,9.44658
343,40.7183868,-73.9873747,9.24204
344,40.7165394,-74.0066823,11.40198
345,40.7171217,-74.0079572,11.86884
346,40.717598,-74.009,11.80728
347,40.705624,-74.006766,11.44776
348,40.743451,-73.988194,9.01716
349,40.7427711,-73.9865977,8.92584
350,40.7420643,-73.9849234,8.82762
351,40.7414058,-73.9833636,8.73864
352,40.7407284,-73.981759,8.6457
353,40.7397899,-73.9795355,8.71824
354,40.738796,-73.977148,8.58042
355,40.868889,-73.915681,10.71516
356,40.766767,-73.971189,9.7335
357,40.7660912,-73.9695848,9.7362
358,40.7653743,-73.9678596,9.63684
359,40.7647323,-73.9663588,9.45384
360,40.764057,-73.9647558,9.54654
361,40.763113,-73.962515,9.2322
362,40.7754205,-73.9839608,15.09006
363,40.7132584,-74.0092662,11.2977
364,40.7206316,-73.9949663,9.29784
365,40.7208958,-73.9957503,9.34122
366,40.7211736,-73.9965747,9.38688
367,40.7215815,-73.9977854,9.45384
368,40.774413,-73.9656245,10.31568
369,40.7737351,-73.9640105,8.71116
370,40.7730162,-73.962294,8.7171
371,40.7723778,-73.9607795,8.8047
372,40.7717042,-73.9591761,8.43204
373,40.7707623,-73.9569342,9.8154
374,40.7697674,-73.9545659,8.26866
375,40.7182987,-74.0053609,11.45562
376,40.7190194,-74.0051717,11.4801
377,40.7206388,-74.0052198,11.51478
378,40.721025,-74.005248,11.5479
379,40.7222274,-74.0053546,10.0053
380,40.723625,-74.004786,10.32834
381,40.724173,-74.004575,10.37928
382,40.725513,-74.004031,9.89178
383,40.72625,-74.00373,10.23426
384,40.726958,-74.003445,11.99238
385,40.727664,-74.003155,10.1355
386,40.7297532,-74.0021622,10.17846
387,40.7305503,-74.0017,10.37166
388,40.731065,-74.001413,10.33434
389,40.731706,-74.000954,10.38174
390,40.732315,-74.000511,10.3353
391,40.732929,-74.000066,10.56984
392,40.734784,-73.998714,10.60152
393,40.7350306,-73.9985393,9.9498
394,40.735391,-73.998274,9.92232
395,40.736032,-73.997805,9.87336
396,40.737361,-73.99684,9.77214
397,40.738044,-73.996337,9.71994
398,40.738686,-73.995874,9.67116
399,40.739272,-73.995446,10.0446
400,40.740442,-73.994593,9.95526
401,40.7416174,-73.9937398,9.44772
402,40.7422328,-73.9932916,9.39948
403,40.744186,-73.991871,9.252
404,40.7448072,-73.9914152,9.20454
405,40.745421,-73.990968,9.58056
406,40.746038,-73.990518,9.1107
407,40.7485163,-73.9887,8.92152
408,40.7491303,-73.9882543,8.87472
409,40.7504635,-73.9872829,8.77308
410,40.752317,-73.985947,8.82018
411,40.752935,-73.985488,8.96184
412,40.7535585,-73.9850397,8.91444
413,40.754177,-73.984596,9.04224
414,40.755516,-73.983624,10.70628
415,40.7561421,-73.9831665,9.1119
416,40.7580163,-73.9817975,10.70652
417,40.758645,-73.981341,10.8507
418,40.7605248,-73.9799722,11.1297
419,40.7611421,-73.9795173,10.84926
420,40.763023,-73.9781397,10.218
421,40.7636462,-73.9776851,10.3575
422,40.7650275,-73.9766802,10.0647
423,40.7910468,-73.9513728,8.15928
424,40.7903177,-73.9496354,7.09824
425,40.7896812,-73.9481484,7.78614
426,40.7890027,-73.9465505,7.81206
427,40.7880638,-73.9443183,7.56414
428,40.7870603,-73.9419364,7.54518
429,40.7172851,-74.0090579,11.82834
430,40.7141186,-74.0034172,11.06826
431,40.716013,-74.0070959,11.44284
432,40.7166018,-74.0083657,11.38608
433,40.7169452,-74.0091064,11.42994
434,40.7501781,-74.0060705,10.1718
435,40.7507886,-74.0056363,10.21812
436,40.7513932,-74.0051843,16.84446
437,40.7520155,-74.0047377,9.94338
438,40.7576816,-74.0006308,9.59478
439,40.7582984,-74.0001819,9.64176
440,40.7640036,-73.9960052,15.85464
441,40.7646309,-73.9955449,16.13676
442,40.766505,-73.994173,15.66582
443,40.7671343,-73.9937004,15.71418
444,40.7690142,-73.9923444,15.56874
445,40.7696438,-73.9918904,15.5286
446,40.7709763,-73.9909131,15.88776
447,40.7716213,-73.9904588,15.50982
448,40.7294709,-74.0051447,10.35846
449,40.730321,-74.004688,10.41978
450,40.730719,-74.00446,10.4487
451,40.7311289,-74.0042257,10.36284
452,40.7318924,-74.0037892,10.61922
453,40.7332265,-74.0030292,10.43088
454,40.7336094,-74.0028114,10.45866
455,40.7343413,-74.002395,10.49802
456,40.7350834,-74.0019682,10.55202
457,40.7355352,-74.0016967,10.58514
458,40.7357944,-74.0015452,10.6041
459,40.736564,-74.001095,10.66026
460,40.733437,-73.995489,10.41528
461,40.7312807,-73.9903509,10.11828
462,40.7307238,-73.9890529,10.04286
463,40.729779,-73.986812,9.91314
464,40.7287826,-73.9844396,11.59974
465,40.727846,-73.982228,9.71244
466,40.726866,-73.979906,11.5914
467,40.7258829,-73.9775364,11.45496
468,40.724877,-73.975164,12.435
469,40.850645,-73.937365,9.32724
470,40.7175925,-73.9754056,10.13574
471,40.7741202,-73.9886361,15.09396
472,40.7747491,-73.9881847,15.3612
473,40.7760287,-73.9872606,14.93424
474,40.778488,-73.9854454,14.78076
475,40.7791214,-73.9849974,14.8287
476,40.7804962,-73.9839851,14.7327
477,40.781134,-73.9835331,15.03516
478,40.7817679,-73.9830719,14.4924
479,40.7823951,-73.9825954,14.61228
480,40.7830301,-73.9821288,14.39562
481,40.785659,-73.9802226,14.39466
482,40.7862926,-73.9797618,14.44296
483,40.7869385,-73.9792937,14.49216
484,40.7881993,-73.978373,14.66286
485,40.7895628,-73.9773744,14.76684
486,40.7901743,-73.9769232,9.2088
487,40.7914402,-73.9760046,13.76976
488,40.7920701,-73.9755518,13.93824
489,40.7927051,-73.9750902,13.67352
490,40.7933315,-73.9746353,13.8486
491,40.7939616,-73.9741855,13.578
492,40.7959364,-73.972713,13.78662
493,40.7965558,-73.9722592,13.57794
494,40.7971871,-73.9718112,13.92318
495,40.7978216,-73.9713467,13.67418
496,40.7984506,-73.9708877,13.72212
497,40.7990808,-73.9704307,13.77006
498,40.7996987,-73.9699736,13.81734
499,40.8003317,-73.9695099,13.86564
500,40.8009593,-73.9690678,14.18814
501,40.8023337,-73.9681074,14.01696
502,40.7407313,-74.00896,15.84216
503,40.7272967,-73.9936333,9.96114
504,40.7264167,-73.9918576,9.6708
505,40.860956,-73.926502,10.01886
506,40.800066,-73.9510418,6.94122
507,40.8013253,-73.9540275,7.20792
508,40.8024915,-73.9567862,7.27194
509,40.863691,-73.917063,10.23618
510,40.7878728,-73.9674799,8.61966
511,40.7353127,-73.9898332,10.45272
512,40.7339789,-73.9866821,9.34518
513,40.733033,-73.984441,9.39462
514,40.7320287,-73.982061,9.4278
515,40.736691,-73.99312,9.906
516,40.7387661,-74.0034031,10.93416
517,40.7622928,-73.9744609,10.1712
518,40.7648393,-73.9805314,10.33494
519,40.7660319,-73.9833766,10.48332
520,40.7672471,-73.9862074,15.85782
521,40.7684455,-73.9890489,15.62634
522,40.7149352,-74.0079521,11.22516
523,40.7155224,-74.0092214,11.50512
524,40.7163041,-74.0109232,11.40102
525,40.826645,-73.943059,8.43426
526,40.767394,-73.970728,9.7809
527,40.7667187,-73.969127,9.68832
528,40.7660014,-73.9674105,9.5892
529,40.7653573,-73.9658998,9.5016
530,40.7646823,-73.9642995,9.40782
531,40.7637382,-73.9620616,9.27978
532,40.7627399,-73.9596951,9.237
533,40.8678058,-73.9300052,11.88756
534,40.769901,-73.968904,9.97206
535,40.7692257,-73.9673032,9.87948
536,40.7685,-73.9655883,9.97242
537,40.7678636,-73.9640743,9.69264
538,40.7671877,-73.962472,9.79374
539,40.7662424,-73.9602282,9.47088
540,40.765245,-73.9578668,9.33234
541,40.7029687,-74.0115091,14.50566
542,40.7017938,-74.0111561,14.4252
543,40.7119737,-73.9977759,9.67302
544,40.7216919,-73.9892727,9.47466
545,40.7216077,-73.9889948,9.21816
546,40.7209878,-73.986948,9.19566
547,40.7228307,-73.9931529,9.42264
548,40.7224082,-73.9916591,9.36126
549,40.71907,-73.99336,9.24276
550,40.717409,-73.987879,8.94402
551,40.718269,-73.990716,9.0987
