,Lat,Lon
0,40.7986450,-73.9614743
1,40.8016441,-73.9685711
2,40.7826383,-73.9750067
3,40.7838280,-73.9778254
4,40.7845691,-73.9795827
5,40.7850311,-73.9806779
6,40.7855935,-73.9820114
7,40.8593027,-73.9313326
8,40.7839863,-73.9703136
9,40.7851818,-73.9731496
10,40.7863627,-73.9759753
11,40.7870877,-73.9776927
12,40.7875673,-73.9788289
13,40.7885135,-73.9810702
14,40.8126165,-73.9568104
15,40.8138385,-73.9598159
16,40.7328593,-73.9959038
17,40.7341463,-73.9991816
18,40.7262630,-73.9944030
19,40.7042210,-74.0087998
20,40.7033242,-74.0077787
21,40.7041084,-74.0089696
22,40.7032082,-74.0079771
23,40.7692723,-73.9810245
24,40.7697921,-73.9822548
25,40.7704805,-73.9838467
26,40.7716682,-73.9866896
27,40.7728658,-73.9895487
28,40.7872303,-73.9679486
29,40.7884319,-73.9707848
30,40.7896131,-73.9736025
31,40.7902552,-73.9751319
32,40.7908141,-73.9764490
33,40.7917606,-73.9786893
34,40.7110102,-74.0143968
35,40.7091439,-74.0105210
36,40.8016938,-73.9334616
37,40.7596670,-73.9582334
38,40.8442431,-73.9337066
39,40.8033714,-73.9329248
40,40.7132500,-73.9775860
41,40.7245040,-74.0070290
42,40.7596362,-73.9639971
43,40.7620792,-73.9619892
44,40.7588380,-73.9989476
45,40.7577413,-73.9968472
46,40.7606238,-73.9643450
47,40.7696458,-73.9483958
48,40.7794868,-73.9735933
49,40.8171890,-73.9344630
50,40.7219848,-74.0082309
51,40.7730374,-73.9782943
52,40.7206456,-74.0084660
53,40.7244054,-74.0070994
54,40.7593082,-73.9592519
55,40.8197265,-73.9601312
56,40.8069238,-73.9355687
57,40.7573468,-73.9950445
58,40.7576654,-73.9948115
59,40.7846230,-73.9698495
60,40.7244132,-74.0059302
61,40.8176537,-73.9610075
62,40.7917220,-73.9529840
63,40.7923746,-73.9641691
64,40.8156499,-73.9344467
65,40.7941945,-73.9628627
66,40.8034745,-73.9312442
67,40.8668641,-73.9309781
68,40.7239092,-74.0075216
